Batch,CURRENT,PRES_DISCHARGE,FREQUENCY,PRES_INTAKE,TEMP_INTAKE,TEMP_MOTOR_PUMP,VIBRATION,Failure
273,27.23042295,78.33757366,61.97524205,64.30046554,133.6141595,240.6374387,0.672385756,1
274,18.48156863,69.77088571,64.63346569,64.66449022,124.7351997,239.9659415,0.680461408,1
275,17.49679997,56.95269535,64.59185017,65.23171253,156.7868062,227.5445013,0.628551206,1
276,18.48156863,56.6959931,59.2054902,70.6389947,130.6980814,216.622799,0.685313183,0
277,16.63184616,88.55365247,64.80607833,76.52328843,152.0563922,212.5981644,0.651126446,0
278,17.61337007,55.5875839,59.2054902,78.11037966,112.9479644,213.1227647,0.679248465,0
279,16.14617363,55.96392177,71.32060212,72.73067522,134.1428743,213.1227647,0.613530774,0
280,17.38803343,64.89594055,65.25286899,73.26661076,119.1275498,201.0861625,0.632736737,0
281,18.7918337,61.53273545,58.06242298,72.31897264,123.8877803,224.3324399,0.646339908,0
282,16.6228378,106.3713534,55.562314,68.40025098,138.641294,263.7908879,0.632736736,0
283,19.30311479,109.5677202,59.21085818,72.42335289,159.2657151,232.0583621,0.605865368,0
284,18.22425367,98.87110872,59.2054902,70.09916892,153.867046,239.039824,0.575775034,0
285,17.25208511,103.2402223,59.2054902,67.7231464,133.0833303,277.1779497,0.565089055,0
286,19.59926549,115.4100641,57.6049467,70.02638238,188.5217797,178.3033922,0.549552967,0
287,16.92120625,105.5363832,55.61870277,85.42823529,123.0501313,219.6455546,0.595641985,0
288,16.22990257,85.02781188,59.54745358,85.42823529,120.5646435,201.3028603,0.563093685,0
289,16.97032669,79.79836271,60.49483659,75.45422176,109.0502489,177.3482233,0.544984926,0
290,18.9987729,79.56750769,58.17795008,86.93328886,124.1758824,191.976394,0.52633092,0
291,18.48156863,63.56797304,62.12300362,84.46874057,126.7219448,180.0439085,0.400271419,0
292,24.62941198,59.27991567,65.4012762,87.07423428,133.3612277,201.4045661,0.123272001,0
293,24.17394688,61.06341704,59.2054902,85.13993909,120.9537059,189.0953242,0.123272001,0
294,25.05672638,61.71036402,59.2054902,88.03212836,143.4166684,196.0543269,0.140095004,0
295,22.37662841,64.01336562,63.98128408,88.46403252,124.1165957,209.9183082,0.132033982,0
296,24.35221474,113.2167451,58.7038987,85.26379827,150.4088618,215.0707857,0.132966882,0
